Year,Manufacturer,Division,Model,Index (Model Type Index),Displacement,Cylinders,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,# Gears,Drive Sys,Drive Desc,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),$ You Spend over 5 years ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted
2019,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq Blue,49,1.6,4,Auto(AM6),57,59,58,75.7,79.1,77.1931,56.5105,59.4169,57.7824,,NA,Naturally Aspirated,AM,Automated Manual,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),650,2,2,6,Large Cars,Battery(s),1,Lithium Ion,240,6.5,40.5,On-Board,Electrical Regen Brake,,Front Wheels,N,77.6,10,10,,7,,157,150,154
2019,Toyota,TOYOTA,PRIUS Eco,84,1.8,4,Auto(AV),58,53,56,83.5598,77.7618,80.8472,57.8088,53.3226,55.7,,NA,Naturally Aspirated,CVT,Continuously Variable,1,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),700,2,2,5,Midsize Cars,Battery(s),1,Lithium Ion,207,4,68.2,On-Board,Electrical Regen Brake,,Front Wheels,N,82.5,10,10,,7,,152,166,158
2019,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq,48,1.6,4,Auto(AM6),55,54,55,72.421,74.8987,73.5154,54.7111,54.4394,54.5885,,NA,Naturally Aspirated,AM,Automated Manual,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),700,2,2,6,Large Cars,Battery(s),1,Lithium Ion,240,6.5,40.5,On-Board,Electrical Regen Brake,,Front Wheels,N,73.9,10,10,,7,,163,164,163
2019,Honda,Honda,INSIGHT,16,1.5,4,Auto(AV),55,49,52,79.992,72.5994,76.4872,54.9485,48.7657,51.9827,,NA,Naturally Aspirated,CVT,Continuously Variable,1,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),750,2,2,5,Midsize Cars,Battery(s),1,Lithium Ion,222,5.5,80,On-Board,Electrical Regen Brake,,Front Wheels,N,77.6,10,10,,7,,161,182,170
2019,Toyota,TOYOTA,CAMRY HYBRID LE,32,2.5,4,Auto(AV-S6),51,53,52,71.6856,71.9,71.7819,50.9899,52.7112,51.7504,,NA,Naturally Aspirated,SCV,Selectable Continuously Variable (e.g. CVT with paddles),6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),750,2,2,5,Midsize Cars,Battery(s),1,Lithium Ion,259,4,68.2,On-Board,Electrical Regen Brake,,Front Wheels,N,72.6,10,10,,7,,173,167,170
2019,Toyota,TOYOTA,PRIUS,82,1.8,4,Auto(AV),54,50,52,76.6865,70.2235,73.6368,54,49.8747,52.3985,,NA,Naturally Aspirated,CVT,Continuously Variable,1,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),750,2,2,5,Midsize Cars,Battery(s),1,Lithium Ion,207,4,68.2,On-Board,Electrical Regen Brake,,Front Wheels,N,74.4,10,10,,7,,163,178,170
2019,Toyota,TOYOTA,PRIUS AWD,83,1.8,4,Auto(AV),52,48,50,74.7256,70.7987,72.9059,52,48.0503,50,,NA,Naturally Aspirated,CVT,Continuously Variable,1,P,Part-time 4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),750,2,2,5,Midsize Cars,Battery(s),1,NiMH,202,6.5,46.4,On-Board,Electrical Regen Brake,,Front Wheels,N,73.7,10,10,,7,,169,183,176
2019,Kia,KIA MOTORS CORPORATION,Niro FE,33,1.6,4,Auto(AM6),52,49,50,68.2,66.2,67.2852,51.9792,48.6163,50.4101,,NA,Naturally Aspirated,AM,Automated Manual,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),750,2,2,7,Small Station Wagons,Battery(s),1,Lithium Ion,240,6.5,40.5,On-Board,Electrical Regen Brake,,Front Wheels,N,67.7,10,10,,7,,171,184,177
2019,Kia,KIA MOTORS CORPORATION,Niro,31,1.6,4,Auto(AM6),51,46,49,65.7,62.5,64.2204,50.8864,46.2675,48.6987,,NA,Naturally Aspirated,AM,Automated Manual,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),800,2,2,7,Small Station Wagons,Battery(s),1,Lithium Ion,240,6.5,40.5,On-Board,Electrical Regen Brake,,Front Wheels,N,64.6,10,10,,7,,175,193,183
2019,Honda,Honda,INSIGHT TOURING,17,1.5,4,Auto(AV),51,45,48,73.165,67.2416,70.3752,51.2457,44.5034,47.975,,NA,Naturally Aspirated,CVT,Continuously Variable,1,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),800,2,2,5,Midsize Cars,Battery(s),1,Lithium Ion,222,5.5,80,On-Board,Electrical Regen Brake,,Front Wheels,N,70.8,10,10,,7,,172,199,184
